zcyc

tradedate;tradetime;period_0.25
01.11.2025;18:49:59;12,03
03.11.2025;18:49:58;11,73
05.11.2025;18:49:56;12,14
06.11.2025;18:49:59;11,86
07.11.2025;18:49:58;11,98
10.11.2025;18:49:56;11,98
11.11.2025;18:49:58;11,88
12.11.2025;18:49:57;11,63
13.11.2025;18:49:58;11,31
14.11.2025;18:49:59;11,33
17.11.2025;18:49:56;11,31
18.11.2025;18:49:57;11,84
19.11.2025;18:49:56;11,91
20.11.2025;18:49:58;12,11
21.11.2025;18:49:58;12,66
24.11.2025;18:49:53;12,62
25.11.2025;18:49:53;12,82
26.11.2025;18:49:58;13,16
27.11.2025;18:49:59;13,06
28.11.2025;18:49:59;13,23


