zcyc

tradedate;tradetime;period_5.0
01.11.2025;18:49:59;15,06
03.11.2025;18:49:58;14,91
05.11.2025;18:49:56;14,96
06.11.2025;18:49:59;15,06
07.11.2025;18:49:58;14,97
10.11.2025;18:49:56;14,86
11.11.2025;18:49:58;14,76
12.11.2025;18:49:57;14,72
13.11.2025;18:49:58;14,67
14.11.2025;18:49:59;14,73
17.11.2025;18:49:56;14,83
18.11.2025;18:49:57;14,78
19.11.2025;18:49:56;14,7
20.11.2025;18:49:58;14,7
21.11.2025;18:49:58;14,6
24.11.2025;18:49:53;14,68
25.11.2025;18:49:53;14,68
26.11.2025;18:49:58;14,81
27.11.2025;18:49:59;14,88
28.11.2025;18:49:59;14,82


